,BCE_pretrained,IoU_pretrained,ROC-AUC_pretrained,Dice_pretrained
_exp1_0,0.6147666335105896,0.0011810538819103742,0.7332616279508534,0.002359046350222848
_exp1_1,0.5995968639850616,0.008966526430767513,0.9054328955593525,0.017771705487516547
_exp1_2,1.1298966348171233,0.015983511663816907,0.8388826793303729,0.03144298759059923
_exp1_3,1.605106246471405,0.018420259404610253,0.849125379444124,0.03616846893176261
_exp1_4,2.8227651357650756,0.006445546611593173,0.6803529159292588,0.012804437787983814
_exp1_5,0.7811936616897583,0.014811900901854394,0.960596159111074,0.029188613093586235
_exp1_6,0.6967639923095703,0.0046263683808507134,0.809109655874867,0.009208465528392001
_exp1_7,0.71318519115448,0.0029257571178773613,0.7867763450384605,0.005833866438764918
_exp1_8,0.7358507513999939,0.0025238387398668397,0.7914723286254887,0.005034188904088919
_exp1_9,3.4426828622817993,5.775895263765883e-05,0.42238200541243953,0.00011545122185876468
_exp1_10,2.846823215484619,0.0,0.37866128546217626,0.0
_exp1_11,2.762861943244934,0.005058946344420971,0.662585854833981,0.010064974255461654
_exp1_12,4.42414174079895,0.0,0.35508034552019857,0.0
_exp1_13,1.315040373802185,0.002906450623218849,0.6713653632814803,0.0057947180185194385
_exp1_14,1.167808711528778,0.0019932825534114853,0.6640576977363171,0.003977573624710685
_exp1_15,0.539158034324646,0.007228478030639575,0.9639045918913183,0.014351667581053742
_exp1_16,0.6475424826145172,0.00650952027852664,0.8607094296776905,0.012931637929470708
_exp1_17,0.9921838760375976,0.0010360189277728272,0.6506936330033734,0.002068818634100213
_exp1_18,0.6634659230709076,0.0039057439206129294,0.8662113910056577,0.00778004676060165
_exp1_19,0.6819030344486237,0.0072040874754444265,0.9816032213228196,0.014302543224214925
_exp1_20,1.479762351512909,0.008563264367324519,0.7214909813270355,0.016979075147701563
_exp1_21,0.9221171259880065,0.014951828587258045,0.8922920330586408,0.029460220787914763
_exp1_22,2.2595786690711974,0.015243924372629985,0.7986925222713982,0.03001677197734339
_exp1_23,1.0952137887477875,0.012403292318010553,0.8362387215682701,0.02449595030060989
_exp1_24,0.5676508992910385,0.012640541597189716,0.9375202825831568,0.024959609485614955
_exp1_25,2.2643688440322878,0.01735948808642256,0.815654769375152,0.034100436661519004
